trial_id,seed,controller,planner,contact,perception,offset_mm,success,failure_reason,insertion_time,peak_force,mean_force,jamming_count,retry_count,final_pose_error,compute_time
0,0,jointpos,waypoint,none,gt,0,1,,10.1,27.7851,16.0469,0,0,0.000514,1.2299
1,1,jointpos,waypoint,none,gt,0,1,,10.238,41.2265,20.4543,0,0,0.000257,1.1771
2,2,jointpos,waypoint,none,gt,0,1,,10.154,36.9771,23.8246,0,0,0.000303,1.1908
3,3,jointpos,waypoint,none,gt,0,1,,10.19,32.1852,22.1688,0,0,0.000154,1.2023
4,4,jointpos,waypoint,none,gt,0,1,,10.084,28.3181,16.1452,0,0,0.000728,1.1697
5,5,jointpos,waypoint,none,gt,0,1,,10.118,40.6192,18.7357,0,0,0.000122,1.1894
6,6,jointpos,waypoint,none,gt,0,1,,10.158,36.9643,21.8837,0,0,0.000416,1.1498
7,7,jointpos,waypoint,none,gt,0,1,,10.106,30.6774,18.9986,0,0,0.000505,1.1809
8,8,jointpos,waypoint,none,gt,0,1,,10.09,35.8087,20.46,0,0,0.000513,1.1802
9,9,jointpos,waypoint,none,gt,0,1,,10.114,29.5263,16.8839,0,0,0.000363,1.1822
10,0,jointpos,waypoint,none,gt,3,1,,10.1,28.928,16.1741,0,0,0.003071,1.1592
11,1,jointpos,waypoint,none,gt,3,1,,10.258,40.269,20.4329,0,0,0.00272,1.2041
12,2,jointpos,waypoint,none,gt,3,1,,10.154,38.7417,24.0784,0,0,0.002928,1.1705
13,3,jointpos,waypoint,none,gt,3,1,,10.19,32.184,22.1661,0,0,0.002905,1.2117
14,4,jointpos,waypoint,none,gt,3,1,,10.084,28.2843,16.8989,0,0,0.003018,1.1862
15,5,jointpos,waypoint,none,gt,3,1,,10.132,35.2283,17.6341,0,0,0.002954,1.207
16,6,jointpos,waypoint,none,gt,3,1,,10.158,36.9528,21.8715,0,0,0.002796,1.1861
17,7,jointpos,waypoint,none,gt,3,1,,10.106,27.9089,17.777,0,0,0.002821,1.1814
18,8,jointpos,waypoint,none,gt,3,1,,10.09,35.7433,21.1638,0,0,0.003057,1.1821
19,9,jointpos,waypoint,none,gt,3,1,,10.134,31.1234,17.6701,0,0,0.002681,1.1745
20,0,jointpos,waypoint,none,gt,6,1,,10.08,37.6316,12.3684,0,0,0.004062,1.3717
21,1,jointpos,waypoint,none,gt,6,1,,10.238,38.6422,6.9121,0,0,0.001599,1.3403
22,2,jointpos,waypoint,none,gt,6,1,,10.154,37.0882,6.5372,0,0,0.002611,1.3102
23,3,jointpos,waypoint,none,gt,6,1,,10.178,39.3036,7.7004,0,0,0.003376,1.3398
24,4,jointpos,waypoint,none,gt,6,1,,10.084,32.1748,6.6683,0,0,0.002054,1.295
