trial_id,seed,controller,planner,contact,perception,offset_mm,spiral_radius_mm,success,failure_reason,insertion_time,peak_force,mean_force,jamming_count,retry_count,final_pose_error,compute_time,preinsert_pose_error,path_length,smoothness,max_joint_vel,max_joint_accel,solve_time,initial_contact_force
0,0,impedance,waypoint,none,gt,0.0,,1,,10.064,30.2627,16.548,0,0,0.000421,1.0998,0.004284,0.311902,11.3318,1.3039,335.0311,0.0,0.0
1,1,impedance,waypoint,none,gt,0.0,,1,,10.232,46.3483,20.4083,0,0,0.00037,1.0596,0.004401,0.311937,11.3072,1.1936,336.1475,0.0,0.0
2,2,impedance,waypoint,none,gt,0.0,,1,,10.13,34.6257,23.8759,0,0,0.000492,1.0717,0.004564,0.31182,11.2567,1.2565,313.3439,0.0,0.0
3,3,impedance,waypoint,none,gt,0.0,,1,,10.166,33.3748,22.1623,0,0,0.00031,1.0544,0.004329,0.311937,11.2129,1.3088,329.4785,0.0,0.0
4,4,impedance,waypoint,none,gt,0.0,,1,,10.078,28.0895,16.0553,0,0,0.000838,1.0313,0.004638,0.311958,11.3014,1.1961,329.2471,0.0,0.0
5,5,impedance,waypoint,none,gt,0.0,,1,,10.112,34.607,18.5015,0,0,0.000196,1.0902,0.004435,0.312176,11.494,1.2643,338.2654,0.0,0.0
6,6,impedance,waypoint,none,gt,0.0,,1,,10.138,33.501,20.5105,0,0,0.000626,1.0668,0.004523,0.311906,11.2861,1.1898,311.5845,0.0,0.0
7,7,impedance,waypoint,none,gt,0.0,,1,,10.086,30.2683,17.512,0,0,0.000535,1.0517,0.004674,0.311965,11.3224,1.3069,324.3009,0.0,0.0
8,8,impedance,waypoint,none,gt,0.0,,1,,10.048,30.4382,13.8694,0,0,0.000577,1.0657,0.004589,0.31229,11.5394,1.3068,318.5897,0.0,0.0
9,9,impedance,waypoint,none,gt,0.0,,1,,10.1,27.5368,15.1075,0,0,0.000563,1.0768,0.004411,0.311981,11.4604,1.2556,315.8024,0.0,0.0
10,10,impedance,waypoint,none,gt,0.0,,1,,10.13,28.638,15.1676,0,0,0.000907,1.0505,0.004584,0.31197,11.2546,1.1934,311.426,0.0,0.0
11,11,impedance,waypoint,none,gt,0.0,,1,,10.08,34.7419,20.0471,0,0,0.000345,1.0432,0.004814,0.311924,11.1559,1.1955,320.0228,0.0,0.0
12,12,impedance,waypoint,none,gt,0.0,,1,,10.084,34.1022,19.436,0,0,0.000431,1.0323,0.004557,0.311991,11.3043,1.3067,329.8972,0.0,0.0
13,13,impedance,waypoint,none,gt,0.0,,1,,10.166,38.1337,19.9887,0,0,0.000523,1.0685,0.004172,0.311903,11.4252,1.2611,312.9626,0.0,0.0
14,14,impedance,waypoint,none,gt,0.0,,1,,10.192,28.5437,18.0777,0,0,0.000439,1.0573,0.004539,0.312108,11.4073,1.3074,315.3878,0.0,0.0
15,15,impedance,waypoint,none,gt,0.0,,1,,10.11,31.3228,15.8004,0,0,0.000926,1.066,0.004964,0.310974,11.5907,1.308,308.9389,0.0,0.0
16,16,impedance,waypoint,none,gt,0.0,,1,,10.126,30.3813,17.2841,0,0,0.000341,1.0766,0.004306,0.312187,11.4728,1.3109,336.2394,0.0,0.0
17,17,impedance,waypoint,none,gt,0.0,,1,,10.096,25.3335,14.2135,0,0,0.001308,1.0603,0.004345,0.311937,11.3031,1.3078,331.2808,0.0,0.0
18,18,impedance,waypoint,none,gt,0.0,,1,,10.124,27.7121,14.6299,0,0,0.000334,1.0531,0.004429,0.311873,11.3774,1.2625,311.4347,0.0,1.5418
19,19,impedance,waypoint,none,gt,0.0,,1,,10.178,28.6463,15.8906,0,0,0.000641,1.0633,0.004431,0.312036,11.3681,1.308,332.5885,0.0,0.0
20,20,impedance,waypoint,none,gt,0.0,,1,,10.168,43.906,19.0859,0,0,0.000276,1.0828,0.004687,0.312249,11.6242,1.3057,323.7242,0.0,0.0
21,21,impedance,waypoint,none,gt,0.0,,1,,10.138,41.8988,21.6405,0,0,0.000321,1.0862,0.004603,0.312109,11.4088,1.3069,299.6959,0.0,0.0
22,22,impedance,waypoint,none,gt,0.0,,1,,10.036,34.2621,19.8903,0,0,0.000409,1.0716,0.004272,0.311759,11.1321,1.3078,319.1236,0.0,1.5123
23,23,impedance,waypoint,none,gt,0.0,,1,,10.09,37.4124,18.5516,0,0,0.000547,1.0636,0.004774,0.31202,11.1929,1.3069,311.6771,0.0,0.0
24,24,impedance,waypoint,none,gt,0.0,,1,,10.142,34.5697,17.7909,0,0,0.000529,1.0909,0.004998,0.310836,11.1803,1.2562,331.7655,0.0,0.0
25,25,impedance,waypoint,none,gt,0.0,,1,,10.19,39.6175,18.2873,0,0,0.000323,1.0632,0.004644,0.312147,11.4388,1.1933,304.6547,0.0,0.0
26,26,impedance,waypoint,none,gt,0.0,,1,,10.134,30.4069,18.5864,0,0,0.000626,1.0675,0.004716,0.311957,11.2696,1.2578,313.8299,0.0,0.0
27,27,impedance,waypoint,none,gt,0.0,,1,,10.076,30.5737,16.6266,0,0,0.000771,1.0483,0.004493,0.311985,11.3234,1.3094,336.9227,0.0,0.0
28,28,impedance,waypoint,none,gt,0.0,,1,,10.032,29.4251,16.1165,0,0,0.000423,1.0559,0.004415,0.311848,11.145,1.3092,321.2501,0.0,0.0
29,29,impedance,waypoint,none,gt,0.0,,1,,10.182,35.652,18.9515,0,0,0.000669,1.0608,0.004314,0.311839,11.1844,1.1944,307.9261,0.0,0.0
30,0,impedance,waypoint,none,gt,3.0,,1,,10.064,28.028,16.0733,0,0,0.002833,1.0229,0.004818,0.312251,11.3201,1.3028,332.5877,0.0,0.0
31,1,impedance,waypoint,none,gt,3.0,,1,,10.232,44.1561,20.6693,0,0,0.002627,1.0542,0.004901,0.312284,11.2975,1.1925,333.7009,0.0,0.0
32,2,impedance,waypoint,none,gt,3.0,,1,,10.13,35.1957,23.2201,0,0,0.002735,1.0342,0.004083,0.313188,11.2501,1.2556,310.9004,0.0,0.0
33,3,impedance,waypoint,none,gt,3.0,,1,,10.166,31.7934,21.8103,0,0,0.00272,1.0812,0.004854,0.312286,11.1999,1.3077,327.0352,0.0,0.0
34,4,impedance,waypoint,none,gt,3.0,,1,,10.078,28.051,16.5778,0,0,0.002883,1.0127,0.004236,0.313329,11.3053,1.195,326.8059,0.0,0.0
35,5,impedance,waypoint,none,gt,3.0,,1,,10.112,34.5226,18.4481,0,0,0.002843,1.0622,0.004981,0.312511,11.4071,1.2632,335.8278,0.0,0.0
36,6,impedance,waypoint,none,gt,3.0,,1,,10.138,33.5016,20.1788,0,0,0.002619,1.063,0.004069,0.313279,11.2896,1.1887,309.1408,0.0,0.0
37,7,impedance,waypoint,none,gt,3.0,,1,,10.102,27.8534,16.0134,0,0,0.002688,1.0581,0.004046,0.313338,11.3209,1.3058,321.8601,0.0,0.0
38,8,impedance,waypoint,none,gt,3.0,,1,,10.048,30.8859,14.0095,0,0,0.002826,1.0482,0.00466,0.313667,11.5226,1.3058,316.1514,0.0,0.0
39,9,impedance,waypoint,none,gt,3.0,,1,,10.1,27.5532,15.0794,0,0,0.002572,1.0733,0.004943,0.312324,11.3654,1.2545,313.3576,0.0,0.0
