trial_id,seed,controller,planner,contact,perception,offset_mm,spiral_radius_mm,success,failure_reason,insertion_time,peak_force,mean_force,jamming_count,retry_count,final_pose_error,compute_time,preinsert_pose_error,path_length,smoothness,max_joint_vel,max_joint_accel,solve_time,initial_contact_force
0,0,impedance,waypoint,spiral,gt,6.0,6.0,1,,11.56,40.3352,19.0221,3,3,0.003812,1.3186,0.004634,0.313628,11.2994,1.3016,330.153,0.0,1.8269
1,1,impedance,waypoint,spiral,gt,6.0,6.0,1,,10.232,38.8225,6.1004,0,0,0.002132,1.1761,0.004626,0.313678,11.3317,1.1914,331.2627,0.0,1.9139
2,2,impedance,waypoint,spiral,gt,6.0,6.0,1,,10.13,37.7306,6.1834,0,0,0.002505,1.1644,0.004621,0.313557,11.1833,1.2545,308.4653,0.0,1.6293
3,3,impedance,waypoint,spiral,gt,6.0,6.0,1,,11.468,42.7524,22.3246,3,3,0.003726,1.2305,0.004584,0.31368,11.2364,1.3066,324.6004,0.0,1.6566
4,4,impedance,waypoint,spiral,gt,6.0,6.0,1,,10.078,34.226,6.2748,0,0,0.002208,1.1591,0.004777,0.313695,11.2432,1.1938,324.3732,0.0,1.5125
5,5,impedance,waypoint,spiral,gt,6.0,6.0,1,,10.112,38.7858,11.5296,0,0,0.002621,1.2368,0.004784,0.313911,11.4359,1.262,333.3987,0.0,1.5259
6,6,impedance,waypoint,spiral,gt,6.0,6.0,1,,10.138,33.6795,5.656,0,0,0.002644,1.1653,0.004608,0.313642,11.2195,1.1877,306.7056,0.0,1.528
7,7,impedance,waypoint,spiral,gt,6.0,6.0,1,,10.086,37.5129,6.2782,0,0,0.002764,1.1688,0.004585,0.313703,11.2646,1.3047,319.4278,0.0,1.9574
8,8,impedance,waypoint,spiral,gt,6.0,6.0,1,,10.048,31.1922,6.7314,0,0,0.000557,1.1458,0.004179,0.31505,11.5634,1.3047,313.7216,0.0,1.7214
9,9,impedance,waypoint,spiral,gt,6.0,6.0,1,,10.1,28.4549,6.1059,0,0,0.002705,1.1957,0.004655,0.313718,11.3898,1.2534,310.9212,0.0,1.7226
10,10,impedance,waypoint,spiral,gt,6.0,6.0,1,,10.13,35.4073,6.8254,0,0,0.003958,1.2085,0.004806,0.313708,11.1868,1.1913,306.5494,0.0,1.5618
11,11,impedance,waypoint,spiral,gt,6.0,6.0,1,,10.08,36.2204,6.5418,0,0,0.002862,1.1431,0.004925,0.313661,11.1046,1.1932,315.1541,0.0,1.6113
12,12,impedance,waypoint,spiral,gt,6.0,6.0,1,,10.084,37.2643,9.3498,0,0,0.003194,1.2589,0.004794,0.313728,11.2497,1.3045,325.018,0.0,1.5258
13,13,impedance,waypoint,spiral,gt,6.0,6.0,1,,10.614,33.0639,7.3102,1,1,0.003172,1.2383,0.004432,0.313643,11.3518,1.259,308.0766,0.0,1.5374
14,14,impedance,waypoint,spiral,gt,6.0,6.0,1,,10.176,32.9482,7.4827,0,0,0.002724,1.1917,0.003875,0.314855,11.432,1.3053,310.5237,0.0,1.6761
