trial_id,seed,controller,planner,contact,perception,offset_mm,success,failure_reason,insertion_time,peak_force,mean_force,jamming_count,retry_count,final_pose_error,compute_time
0,0,osc-lambda,waypoint,none,gt,0.0,1,,10.064,26.5022,15.1554,0,0,0.00048,1.4785
1,1,osc-lambda,waypoint,none,gt,0.0,1,,10.232,45.0831,20.302,0,0,0.000377,1.3724
2,2,osc-lambda,waypoint,none,gt,0.0,1,,10.13,34.7535,23.2123,0,0,0.000487,1.4357
3,3,osc-lambda,waypoint,none,gt,0.0,1,,10.166,30.9586,21.7917,0,0,0.000305,1.4003
4,4,osc-lambda,waypoint,none,gt,0.0,1,,10.078,29.3764,16.5865,0,0,0.000841,1.3761
5,5,osc-lambda,waypoint,none,gt,0.0,1,,10.112,34.5872,18.4924,0,0,0.000191,1.4131
6,6,osc-lambda,waypoint,none,gt,0.0,1,,10.138,33.4713,20.052,0,0,0.000625,1.3816
7,7,osc-lambda,waypoint,none,gt,0.0,1,,10.086,30.1647,16.8881,0,0,0.000491,1.3456
8,8,osc-lambda,waypoint,none,gt,0.0,1,,10.048,30.4175,13.8977,0,0,0.000577,1.3697
9,9,osc-lambda,waypoint,none,gt,0.0,1,,10.1,27.5349,15.0931,0,0,0.00056,1.3848
10,0,osc-lambda,waypoint,none,gt,3.0,1,,10.076,32.9258,17.1435,0,0,0.002815,1.3818
11,1,osc-lambda,waypoint,none,gt,3.0,1,,10.232,45.0136,20.2956,0,0,0.002626,1.3959
12,2,osc-lambda,waypoint,none,gt,3.0,1,,10.13,34.0666,23.2209,0,0,0.002738,1.3672
13,3,osc-lambda,waypoint,none,gt,3.0,1,,10.166,31.7769,21.8001,0,0,0.002726,1.5017
14,4,osc-lambda,waypoint,none,gt,3.0,1,,10.078,29.3249,16.4479,0,0,0.00289,1.3746
15,5,osc-lambda,waypoint,none,gt,3.0,1,,10.112,34.5036,18.4376,0,0,0.00285,1.4092
16,6,osc-lambda,waypoint,none,gt,3.0,1,,10.138,33.4717,20.4911,0,0,0.002626,1.373
17,7,osc-lambda,waypoint,none,gt,3.0,1,,10.102,29.3452,16.7083,0,0,0.002691,1.38
18,8,osc-lambda,waypoint,none,gt,3.0,1,,10.048,30.3679,13.8752,0,0,0.002831,1.4201
19,9,osc-lambda,waypoint,none,gt,3.0,1,,10.1,27.4857,15.0717,0,0,0.002577,1.419
20,0,osc-lambda,waypoint,none,gt,6.0,0,force_abort,4.474,40.0421,19.9583,1,0,0.006475,0.6502
21,1,osc-lambda,waypoint,none,gt,6.0,1,,10.232,38.805,6.1172,0,0,0.002136,1.5678
22,2,osc-lambda,waypoint,none,gt,6.0,1,,10.13,37.7164,6.1967,0,0,0.0025,1.5026
23,3,osc-lambda,waypoint,none,gt,6.0,0,force_abort,4.55,40.0812,20.8302,1,0,0.006345,0.6558
24,4,osc-lambda,waypoint,none,gt,6.0,1,,10.078,34.2103,6.2888,0,0,0.002207,1.4906
25,5,osc-lambda,waypoint,none,gt,6.0,0,force_abort,4.528,40.2595,18.8128,1,0,0.006442,0.6803
26,6,osc-lambda,waypoint,none,gt,6.0,1,,10.138,33.6668,5.6643,0,0,0.002652,1.4376
27,7,osc-lambda,waypoint,none,gt,6.0,1,,10.102,37.4726,6.2965,0,0,0.003247,1.4582
28,8,osc-lambda,waypoint,none,gt,6.0,1,,10.048,30.8448,6.7389,0,0,0.000556,1.4448
29,9,osc-lambda,waypoint,none,gt,6.0,1,,10.1,28.4188,6.0569,0,0,0.00271,1.5129
30,0,osc-lambda,waypoint,none,gt,9.0,0,force_abort,4.488,40.9619,19.3776,1,0,0.009422,0.6312
31,1,osc-lambda,waypoint,none,gt,9.0,0,force_abort,4.596,40.0098,20.3702,1,0,0.009126,0.6735
32,2,osc-lambda,waypoint,none,gt,9.0,0,force_abort,4.602,43.1412,21.0287,1,0,0.009219,0.663
33,3,osc-lambda,waypoint,none,gt,9.0,0,force_abort,4.554,40.0447,20.9315,1,0,0.009345,0.6641
34,4,osc-lambda,waypoint,none,gt,9.0,0,force_abort,4.506,40.9555,20.1007,1,0,0.009245,0.6292
35,5,osc-lambda,waypoint,none,gt,9.0,0,force_abort,4.598,40.1557,22.3475,1,0,0.009537,0.6807
36,6,osc-lambda,waypoint,none,gt,9.0,0,force_abort,4.528,40.5845,19.0076,1,0,0.009098,0.7195
37,7,osc-lambda,waypoint,none,gt,9.0,0,force_abort,4.466,40.0911,20.84,1,0,0.00922,0.6142
38,8,osc-lambda,waypoint,none,gt,9.0,0,force_abort,4.484,40.0776,21.3473,1,0,0.009485,0.6402
39,9,osc-lambda,waypoint,none,gt,9.0,0,force_abort,4.482,40.1802,20.2624,1,0,0.009218,0.6372
40,0,osc-lambda,waypoint,spiral,gt,0.0,1,,10.064,26.5022,15.1554,0,0,0.00048,1.4808
41,1,osc-lambda,waypoint,spiral,gt,0.0,1,,10.232,45.0831,20.302,0,0,0.000377,1.678
42,2,osc-lambda,waypoint,spiral,gt,0.0,1,,10.13,34.7535,23.2123,0,0,0.000487,1.4456
