trial_id,seed,controller,planner,contact,perception,offset_mm,spiral_radius_mm,success,failure_reason,insertion_time,peak_force,mean_force,jamming_count,retry_count,final_pose_error,compute_time
0,0,osc-lambda,waypoint,none,gt,5.0,,1,,10.076,34.4196,4.3186,0,0,0.003231,1.4487
1,1,osc-lambda,waypoint,none,gt,5.0,,1,,10.232,28.2289,2.3257,0,0,0.003811,1.4041
2,2,osc-lambda,waypoint,none,gt,5.0,,1,,10.13,37.2959,2.7301,0,0,0.003034,1.3733
3,3,osc-lambda,waypoint,none,gt,5.0,,1,,10.166,30.4161,2.7885,0,0,0.001809,1.4367
4,4,osc-lambda,waypoint,none,gt,5.0,,1,,10.08,35.2324,2.8435,0,0,0.004865,1.3966
5,5,osc-lambda,waypoint,none,gt,5.0,,1,,10.112,31.4801,5.5627,0,0,0.003177,1.4321
6,6,osc-lambda,waypoint,none,gt,5.0,,1,,10.138,29.9397,2.3495,0,0,0.00421,1.3697
7,7,osc-lambda,waypoint,none,gt,5.0,,1,,10.102,27.5095,2.4916,0,0,0.004087,1.3959
8,8,osc-lambda,waypoint,none,gt,5.0,,1,,10.048,32.6624,5.5888,0,0,0.003941,1.4965
9,9,osc-lambda,waypoint,none,gt,5.0,,1,,10.102,27.4738,2.4175,0,0,0.004065,1.3882
10,0,osc-lambda,waypoint,none,gt,6.0,,0,force_abort,4.474,40.0421,19.9583,1,0,0.006475,0.5955
11,1,osc-lambda,waypoint,none,gt,6.0,,1,,10.232,38.805,6.1172,0,0,0.002136,1.4688
12,2,osc-lambda,waypoint,none,gt,6.0,,1,,10.13,37.7164,6.1967,0,0,0.0025,1.4357
13,3,osc-lambda,waypoint,none,gt,6.0,,0,force_abort,4.55,40.0812,20.8302,1,0,0.006345,0.6129
14,4,osc-lambda,waypoint,none,gt,6.0,,1,,10.078,34.2103,6.2888,0,0,0.002207,1.4345
15,5,osc-lambda,waypoint,none,gt,6.0,,0,force_abort,4.528,40.2595,18.8128,1,0,0.006442,0.6187
16,6,osc-lambda,waypoint,none,gt,6.0,,1,,10.138,33.6668,5.6643,0,0,0.002652,1.442
17,7,osc-lambda,waypoint,none,gt,6.0,,1,,10.102,37.4726,6.2965,0,0,0.003247,1.4512
18,8,osc-lambda,waypoint,none,gt,6.0,,1,,10.048,30.8448,6.7389,0,0,0.000556,1.4441
19,9,osc-lambda,waypoint,none,gt,6.0,,1,,10.1,28.4188,6.0569,0,0,0.00271,1.4426
