trial_id,seed,controller,planner,contact,perception,offset_mm,spiral_radius_mm,success,failure_reason,insertion_time,peak_force,mean_force,jamming_count,retry_count,final_pose_error,compute_time
0,0,osc-lambda,waypoint,spiral,gt,5.0,4.0,1,,10.076,34.4196,4.3186,0,0,0.003231,1.4461
1,1,osc-lambda,waypoint,spiral,gt,5.0,4.0,1,,10.232,28.2289,2.3257,0,0,0.003811,1.3811
2,2,osc-lambda,waypoint,spiral,gt,5.0,4.0,1,,10.13,37.2959,2.7301,0,0,0.003034,1.3333
3,3,osc-lambda,waypoint,spiral,gt,5.0,4.0,1,,10.166,30.4161,2.7885,0,0,0.001809,1.4123
4,4,osc-lambda,waypoint,spiral,gt,5.0,4.0,1,,10.08,35.2324,2.8435,0,0,0.004865,1.36
5,5,osc-lambda,waypoint,spiral,gt,5.0,4.0,1,,10.112,31.4801,5.5627,0,0,0.003177,1.4244
6,6,osc-lambda,waypoint,spiral,gt,5.0,4.0,1,,10.138,29.9397,2.3495,0,0,0.00421,1.3642
7,7,osc-lambda,waypoint,spiral,gt,5.0,4.0,1,,10.102,27.5095,2.4916,0,0,0.004087,1.3851
8,8,osc-lambda,waypoint,spiral,gt,5.0,4.0,1,,10.048,32.6624,5.5888,0,0,0.003941,1.4142
9,9,osc-lambda,waypoint,spiral,gt,5.0,4.0,1,,10.102,27.4738,2.4175,0,0,0.004065,1.3678
10,0,osc-lambda,waypoint,spiral,gt,5.0,6.0,1,,10.076,34.4196,4.3186,0,0,0.003231,1.3719
11,1,osc-lambda,waypoint,spiral,gt,5.0,6.0,1,,10.232,28.2289,2.3257,0,0,0.003811,1.3671
12,2,osc-lambda,waypoint,spiral,gt,5.0,6.0,1,,10.13,37.2959,2.7301,0,0,0.003034,1.3388
13,3,osc-lambda,waypoint,spiral,gt,5.0,6.0,1,,10.166,30.4161,2.7885,0,0,0.001809,1.3637
14,4,osc-lambda,waypoint,spiral,gt,5.0,6.0,1,,10.08,35.2324,2.8435,0,0,0.004865,1.3502
15,5,osc-lambda,waypoint,spiral,gt,5.0,6.0,1,,10.112,31.4801,5.5627,0,0,0.003177,1.4543
16,6,osc-lambda,waypoint,spiral,gt,5.0,6.0,1,,10.138,29.9397,2.3495,0,0,0.00421,1.3838
17,7,osc-lambda,waypoint,spiral,gt,5.0,6.0,1,,10.102,27.5095,2.4916,0,0,0.004087,1.3866
18,8,osc-lambda,waypoint,spiral,gt,5.0,6.0,1,,10.048,32.6624,5.5888,0,0,0.003941,1.4489
19,9,osc-lambda,waypoint,spiral,gt,5.0,6.0,1,,10.102,27.4738,2.4175,0,0,0.004065,1.4008
20,0,osc-lambda,waypoint,spiral,gt,5.0,8.0,1,,10.076,34.4196,4.3186,0,0,0.003231,1.4163
21,1,osc-lambda,waypoint,spiral,gt,5.0,8.0,1,,10.232,28.2289,2.3257,0,0,0.003811,1.3982
22,2,osc-lambda,waypoint,spiral,gt,5.0,8.0,1,,10.13,37.2959,2.7301,0,0,0.003034,1.3814
23,3,osc-lambda,waypoint,spiral,gt,5.0,8.0,1,,10.166,30.4161,2.7885,0,0,0.001809,1.4053
24,4,osc-lambda,waypoint,spiral,gt,5.0,8.0,1,,10.08,35.2324,2.8435,0,0,0.004865,1.3786
25,5,osc-lambda,waypoint,spiral,gt,5.0,8.0,1,,10.112,31.4801,5.5627,0,0,0.003177,1.438
26,6,osc-lambda,waypoint,spiral,gt,5.0,8.0,1,,10.138,29.9397,2.3495,0,0,0.00421,1.3744
27,7,osc-lambda,waypoint,spiral,gt,5.0,8.0,1,,10.102,27.5095,2.4916,0,0,0.004087,1.3693
28,8,osc-lambda,waypoint,spiral,gt,5.0,8.0,1,,10.048,32.6624,5.5888,0,0,0.003941,1.4467
29,9,osc-lambda,waypoint,spiral,gt,5.0,8.0,1,,10.102,27.4738,2.4175,0,0,0.004065,1.3928
30,0,osc-lambda,waypoint,spiral,gt,5.0,10.0,1,,10.076,34.4196,4.3186,0,0,0.003231,1.4033
31,1,osc-lambda,waypoint,spiral,gt,5.0,10.0,1,,10.232,28.2289,2.3257,0,0,0.003811,1.392
32,2,osc-lambda,waypoint,spiral,gt,5.0,10.0,1,,10.13,37.2959,2.7301,0,0,0.003034,1.3895
33,3,osc-lambda,waypoint,spiral,gt,5.0,10.0,1,,10.166,30.4161,2.7885,0,0,0.001809,1.4238
34,4,osc-lambda,waypoint,spiral,gt,5.0,10.0,1,,10.08,35.2324,2.8435,0,0,0.004865,1.366
35,5,osc-lambda,waypoint,spiral,gt,5.0,10.0,1,,10.112,31.4801,5.5627,0,0,0.003177,1.4437
36,6,osc-lambda,waypoint,spiral,gt,5.0,10.0,1,,10.138,29.9397,2.3495,0,0,0.00421,1.395
37,7,osc-lambda,waypoint,spiral,gt,5.0,10.0,1,,10.102,27.5095,2.4916,0,0,0.004087,1.4008
38,8,osc-lambda,waypoint,spiral,gt,5.0,10.0,1,,10.048,32.6624,5.5888,0,0,0.003941,1.4623
39,9,osc-lambda,waypoint,spiral,gt,5.0,10.0,1,,10.102,27.4738,2.4175,0,0,0.004065,1.407
40,0,osc-lambda,waypoint,spiral,gt,7.0,4.0,1,,11.574,43.6216,9.5492,3,3,0.003634,1.6828
41,1,osc-lambda,waypoint,spiral,gt,7.0,4.0,1,,11.638,41.2587,7.5118,3,3,0.00306,1.6044
42,2,osc-lambda,waypoint,spiral,gt,7.0,4.0,1,,10.13,37.9971,9.8037,0,0,0.003273,1.3943
43,3,osc-lambda,waypoint,spiral,gt,7.0,4.0,1,,11.668,45.6708,8.7301,3,3,0.001854,1.6334
44,4,osc-lambda,waypoint,spiral,gt,7.0,4.0,1,,11.508,43.997,8.0994,3,3,0.002545,1.5842
45,5,osc-lambda,waypoint,spiral,gt,7.0,4.0,1,,11.592,41.0483,12.0984,3,3,0.00095,1.6714
46,6,osc-lambda,waypoint,spiral,gt,7.0,4.0,1,,10.138,37.2773,9.3566,0,0,0.001966,1.3726
47,7,osc-lambda,waypoint,spiral,gt,7.0,4.0,1,,11.61,40.5931,7.73,3,3,0.003531,1.6348
48,8,osc-lambda,waypoint,spiral,gt,7.0,4.0,1,,11.548,40.9403,8.439,3,3,0.002969,1.6954
49,9,osc-lambda,waypoint,spiral,gt,7.0,4.0,1,,11.626,40.5497,7.4694,3,3,0.004006,1.6713
50,0,osc-lambda,waypoint,spiral,gt,7.0,6.0,1,,11.604,43.6216,7.2191,3,3,0.00459,1.6727
51,1,osc-lambda,waypoint,spiral,gt,7.0,6.0,1,,11.682,41.2587,5.7786,3,3,0.003766,1.6532
52,2,osc-lambda,waypoint,spiral,gt,7.0,6.0,1,,10.13,37.9971,9.8037,0,0,0.003273,1.3628
53,3,osc-lambda,waypoint,spiral,gt,7.0,6.0,1,,11.668,45.6708,6.7295,3,3,0.001965,1.6226
54,4,osc-lambda,waypoint,spiral,gt,7.0,6.0,1,,11.556,42.91,6.4022,3,3,0.004859,1.5812
55,5,osc-lambda,waypoint,spiral,gt,7.0,6.0,1,,12.94,52.5362,10.5421,6,6,0.004642,1.8754
56,6,osc-lambda,waypoint,spiral,gt,7.0,6.0,1,,10.138,37.2773,9.3566,0,0,0.001966,1.349
57,7,osc-lambda,waypoint,spiral,gt,7.0,6.0,1,,11.62,40.5613,5.7718,3,3,0.004107,1.6259
58,8,osc-lambda,waypoint,spiral,gt,7.0,6.0,1,,12.786,56.0131,10.0604,6,6,0.004757,1.9537
59,9,osc-lambda,waypoint,spiral,gt,7.0,6.0,1,,11.628,40.5451,5.5632,3,3,0.004098,1.6409
60,0,osc-lambda,waypoint,spiral,gt,7.0,8.0,1,,11.538,43.6216,15.992,3,3,0.001586,1.6252
61,1,osc-lambda,waypoint,spiral,gt,7.0,8.0,1,,11.734,41.2587,20.1783,3,3,0.002265,1.5167
62,2,osc-lambda,waypoint,spiral,gt,7.0,8.0,1,,10.13,37.9971,9.8037,0,0,0.003273,1.3659
63,3,osc-lambda,waypoint,spiral,gt,7.0,8.0,1,,11.668,45.6708,21.5284,3,3,0.000444,1.5703
64,4,osc-lambda,waypoint,spiral,gt,7.0,8.0,1,,11.556,41.4209,20.0672,3,3,0.00247,1.5641
65,5,osc-lambda,waypoint,spiral,gt,7.0,8.0,1,,11.696,41.0483,18.7889,3,3,0.000568,1.6924
66,6,osc-lambda,waypoint,spiral,gt,7.0,8.0,1,,10.138,37.2773,9.3566,0,0,0.001966,1.386
67,7,osc-lambda,waypoint,spiral,gt,7.0,8.0,1,,11.636,41.6732,21.1007,3,3,0.001334,1.547
68,8,osc-lambda,waypoint,spiral,gt,7.0,8.0,1,,11.56,42.3647,16.138,3,3,0.001482,1.6542
69,9,osc-lambda,waypoint,spiral,gt,7.0,8.0,1,,11.594,40.1443,19.6297,3,3,0.003911,1.5195
70,0,osc-lambda,waypoint,spiral,gt,7.0,10.0,1,,11.604,63.874,21.1056,3,3,0.003499,1.5482
71,1,osc-lambda,waypoint,spiral,gt,7.0,10.0,1,,11.734,41.2587,20.2049,3,3,0.003291,1.5094
72,2,osc-lambda,waypoint,spiral,gt,7.0,10.0,1,,10.13,37.9971,9.8037,0,0,0.003273,1.3929
73,3,osc-lambda,waypoint,spiral,gt,7.0,10.0,1,,11.738,45.6708,21.5011,3,3,0.003373,1.5394
74,4,osc-lambda,waypoint,spiral,gt,7.0,10.0,1,,11.556,47.9955,20.3116,3,3,0.003538,1.4978
75,5,osc-lambda,waypoint,spiral,gt,7.0,10.0,1,,11.654,60.8295,21.5032,3,3,0.003505,1.546
76,6,osc-lambda,waypoint,spiral,gt,7.0,10.0,1,,10.138,37.2773,9.3566,0,0,0.001966,1.3708
77,7,osc-lambda,waypoint,spiral,gt,7.0,10.0,1,,11.628,40.4363,20.7396,3,3,0.003317,1.5007
78,8,osc-lambda,waypoint,spiral,gt,7.0,10.0,1,,11.554,60.5095,20.0719,3,3,0.003554,1.5296
79,9,osc-lambda,waypoint,spiral,gt,7.0,10.0,1,,11.636,45.9997,20.0332,3,3,0.003242,1.5391
80,0,osc-lambda,waypoint,spiral,gt,9.0,4.0,0,force_abort_max_recovery,9.268,44.2331,20.3658,11,10,0.009748,1.3912
81,1,osc-lambda,waypoint,spiral,gt,9.0,4.0,0,force_abort_max_recovery,9.612,41.7132,20.4493,11,10,0.009484,1.414
82,2,osc-lambda,waypoint,spiral,gt,9.0,4.0,0,force_abort_max_recovery,9.338,45.4515,22.5059,11,10,0.009667,1.384
83,3,osc-lambda,waypoint,spiral,gt,9.0,4.0,0,force_abort_max_recovery,9.492,46.0346,21.0134,11,10,0.009669,1.4053
84,4,osc-lambda,waypoint,spiral,gt,9.0,4.0,1,,11.526,42.7074,13.4631,3,3,0.004361,1.6101
85,5,osc-lambda,waypoint,spiral,gt,9.0,4.0,0,force_abort_max_recovery,9.324,49.6633,22.2167,11,10,0.009919,1.3514
86,6,osc-lambda,waypoint,spiral,gt,9.0,4.0,0,force_abort_max_recovery,9.456,43.2801,20.7898,11,10,0.009484,1.4009
87,7,osc-lambda,waypoint,spiral,gt,9.0,4.0,0,force_abort_max_recovery,9.458,40.936,20.6547,11,10,0.009618,1.4355
88,8,osc-lambda,waypoint,spiral,gt,9.0,4.0,0,force_abort_max_recovery,9.39,44.3372,20.9604,11,10,0.009905,1.4359
89,9,osc-lambda,waypoint,spiral,gt,9.0,4.0,0,force_abort_max_recovery,9.544,40.8372,20.2347,11,10,0.009607,1.4386
90,0,osc-lambda,waypoint,spiral,gt,9.0,6.0,0,force_abort_max_recovery,9.46,73.4246,20.8225,11,10,0.010195,1.4027
91,1,osc-lambda,waypoint,spiral,gt,9.0,6.0,0,force_abort_max_recovery,9.582,64.4791,21.0911,11,10,0.010017,1.4332
92,2,osc-lambda,waypoint,spiral,gt,9.0,6.0,0,force_abort_max_recovery,9.402,45.5819,21.7952,11,10,0.010066,1.3926
